# =============================================================================,,,,,,
# product_map.csv  -  master native-product -> canonical-product mapping,,,,,,
# =============================================================================,,,,,,
#,,,,,,
# Lines starting with '#' are documentation and are ignored by the loader,,,,,,
# (reference/loaders.py uses pd.read_csv(..., comment='#')).,,,,,
#,,,,,,
# WHY THIS FILE EXISTS,,,,,,
# --------------------,,,,,,
# Each national agency (DCCEEW, PPAC, METI, JODI, ...) calls petroleum,,
# products by different native names: 'HSD'," ""GASDIES"""," ""Diesel oil: total"".",,,,
# This file maps every native name to ONE canonical category / sub-category,,,,,,
# so cross-country queries can group on the canonical column instead of,,,,,,
# juggling source-specific labels.,,,,,,
#,,,,,,
# COLUMN -> PARQUET MAPPING  (important: the CSV header names and the,,,,,,
# parquet column names INTENTIONALLY DIFFER - see processors/*.py),,,,,,
# -----------------------------------------------------------------,,,,,,
#,,,,,,
#     This CSV column   ->   Parquet column that carries the value,,,,,,
#     -----------------------------------------------------------,,,,,,
#     Product_name      ->   product_native (India) / product (Australia),,,,,,
#                            / energy_product (JODI),,,,,,
#     Category          ->   category,,,,,,
#     Sub-category      ->   product_canonical,,,,,,
#     Parent_product    ->   (kept in CSV only; useful for hierarchy,,,,,,
#                            queries via reference.loaders.parent_product),,,,,,
#     Product_details   ->   (kept in CSV only; carries the [TAG] vocab,,,,,,
#                            and free-text notes),,,,,,
#,,,,,,
# Why the rename? Because pandas hates hyphens in column names ('Sub-category',,,,,,
# would need backtick-quoting), and the parquet column 'product_canonical',,,,,
# reads more naturally next to the native 'product' column. The CSV side,,,,,,
# uses the original taxonomy terms; the parquet side uses pandas-friendly,,,,,,
# names. Both are correct.,,,,,,
#,,,,,,
# PRODUCT_DETAILS [TAG] VOCABULARY,,,,,,
# ---------------------------------,,,,,,
#     [AGG]      Aggregate / total row. Sub-category='-' so it does NOT,,,,,,
#                contribute to canonical sums. Example: JODI's TOTPRODS.,,,,,,
#     [SUB]      A sub-product whose parent total is the primary. Use the,,,,,,
#                parent (via Parent_product column) for cross-source sums.,,,,,,
#     [MIXED]    Aggregate that spans canonical categories - cannot be,,,,,,
#                cleanly attributed (e.g. Japan's 'Total Fuel Oil' =,,,,,,
#                gasoil-like Fuel Oil A + heavy Fuel Oil B+C).,,,,,,
#     [DERIVED]  Project-derived row computed in a processor. Example:,,,,,,
#                X_OTHKERO = KEROSENE - JETKERO.,,,,,,
#,,,,,,
# ADDING A NEW SOURCE,,,,,,
# -------------------,,,,,,
# 1. Append rows here with a new Source value (e.g. 'OPEC'," ""EIA"").",,,,,
# 2. Ensure each native name in your parquet has exactly one row.,,,,,,
# 3. Use Category='-', Sub-category='-' and tag with [AGG] for total /,,,,,
#    super-aggregate rows so they're correctly excluded from canonical,,,,,,
#    sums.,,,,,,
# 4. Drop reference.loaders' caches if running in a notebook:,,,,,,
#        from reference import loaders,,,,,,
#        loaders.load_product_map.cache_clear(),,,,,,
#,,,,,,
# =============================================================================,,,,,,
Country,Source,Product_name,Category,Sub-category,Product_details,Parent_product
Italy,MASE,CARBOT. | MILITARE,-,-,[SUB] Alias of CARBOTURBO | MILITARE in pre-2020 files,CARBOTURBO | TOTALE (A)
Italy,MASE,CARBOT. | TOTALE (A),-,-,[SUB] Alias of CARBOTURBO | TOTALE (A) in pre-2020 files,CARBOTURBO | TOTALE (A)
Italy,MASE,PETROLIO | TOTALE,Kerosene,Kerosene,[AGG] Minor other kerosene; not jet,
Italy,MASE,GASOLIO | MOTORI,Distillates,Diesel,[AGG] Headline road diesel; JODI GASDIES compare,
Italy,MASE,GASOLIO | GASOLIO RETE,-,-,[SUB] Retail diesel,GASOLIO | MOTORI
Italy,MASE,GASOLIO | EXTRARETE,-,-,[SUB] Wholesale diesel,GASOLIO | MOTORI
Italy,MASE,GASOLIO | RETE AUTOSTRADALE,-,-,[SUB] Motorway diesel; definitive footer,GASOLIO | MOTORI
Italy,MASE,GASOLIO | RETE AUTOSTRAD.,-,-,[SUB] Abbreviated motorway diesel label,GASOLIO | MOTORI
Italy,MASE,GASOLIO | TOTALE GASOLI,Distillates,Gasoil,[AGG] All gasoil uses combined,
Italy,MASE,GASOLIO | RISCALDAMENTO,-,-,[SUB] Heating gasoil,GASOLIO | TOTALE GASOLI
Italy,MASE,GASOLIO | TERMOELETTRICA,-,-,[SUB] Power-generation gasoil,GASOLIO | TOTALE GASOLI
Italy,MASE,GASOLIO | TERMOELETTICA,-,-,[SUB] Abbreviated termoelettrica label,GASOLIO | TOTALE GASOLI
Italy,MASE,GASOLIO | TERMOELETTR.,-,-,[SUB] Variant termoelettrica spelling,GASOLIO | TOTALE GASOLI
Italy,MASE,GASOLIO RISCALDAMENTO,-,-,[SUB] Preliminary heating-oil stock delta; NOT GASOLIO | RISCALDAMENTO deliveries,DELTA SCORTE CONSUMATORI | GASOLIO RISCALDAMENTO
Italy,MASE,OLIO COMBUSTIBILE,-,-,[SUB] Delta-scorte footer label; alias of OLIO COMBUSTIBILE,DELTA SCORTE CONSUMATORI | OLIO COMBUSTIBILE
Italy,MASE,GASOLIO | AGRICOLO,-,-,[SUB] Agricultural diesel,GASOLIO | TOTALE GASOLI
Italy,MASE,GASOLIO | MARINA,-,-,[SUB] Marine diesel,GASOLIO | TOTALE GASOLI
Italy,MASE,GASOLIO | TOTALE,-,-,[SUB] Preliminary GASOLIO (°) total row; maps to TOTALE GASOLI,GASOLIO | TOTALE GASOLI
Italy,MASE,OLIO COMB.LE | TOTALE,Fuel Oil,Fuel Oil,[AGG] Headline fuel-oil total,
Italy,MASE,OLIO COMB.LE | A.T.Z.,Fuel Oil,Fuel Oil,[SUB] High-sulphur fuel oil grade,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB.LE | B.T.Z. + FLUIDO,Fuel Oil,Fuel Oil,[SUB] Low-sulphur / fluid grade,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB.LE | B.T.Z.,Fuel Oil,Fuel Oil,[SUB] Low-sulphur fuel-oil grade; definitive split row,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB.LE | FLUIDO 3/5,Fuel Oil,Fuel Oil,[SUB] Fluid fuel-oil grade; definitive split row,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB.LE | TERMOELETTRICA,Fuel Oil,Fuel Oil,[SUB] Power-generation fuel oil,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB.LE | ALTRI USI,Fuel Oil,Fuel Oil,[SUB] Other fuel-oil uses,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB. | TOTALE,Fuel Oil,Fuel Oil,[SUB] Alias of OLIO COMB.LE | TOTALE in older files,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB. | A.T.Z.,Fuel Oil,Fuel Oil,[SUB] Alias in older files,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB. | B.T.Z. + FLUIDO,Fuel Oil,Fuel Oil,[SUB] Alias in older files,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB. | TERMOELETTRICA,Fuel Oil,Fuel Oil,[SUB] Alias in older files,OLIO COMB.LE | TOTALE
Italy,MASE,OLIO COMB. | ALTRI USI,Fuel Oil,Fuel Oil,[SUB] Alias in older files,OLIO COMB.LE | TOTALE
Italy,MASE,TOTALE O.C. ALTRI USI,Fuel Oil,Fuel Oil,[SUB] Preliminary alias of OLIO COMB.LE | TOTALE,OLIO COMB.LE | TOTALE
Italy,MASE,GPL,LPG,LPG,[AGG] Headline LPG total,
Italy,MASE,G.P.L.,LPG,LPG,[AGG] Alias of GPL in preliminary files,
Italy,MASE,GPL | AUTOTRAZIONE,-,-,[SUB] Automotive LPG,GPL
Italy,MASE,GPL | COMBUSTIONE,-,-,[SUB] Non-automotive LPG combustion,GPL
Italy,MASE,LUBRIFICANTI TOTALE,Heavy byproducts,Lubricants / Grease,[AGG] Headline lubricants on main sheet,
Italy,MASE,LUBRIFICANTI TOTALE | RETE,-,-,[SUB] Retail lubricants,LUBRIFICANTI TOTALE
Italy,MASE,LUBRIFICANTI MOTORI,-,-,[SUB] Engine-oil subset; definitive/preliminary footer,LUBRIFICANTI TOTALE
Italy,MASE,BITUMI,Heavy byproducts,Bitumen,[AGG] Bitumen,
Italy,MASE,ALTRI PRODOTTI,Others,Others,[AGG] Residual other products bucket,
Italy,MASE,TOTALE PRODOTTI PRINCIPALI,-,-,[AGG] Sum of main products; excluded from canonical sums,
Italy,MASE,TOTALE VENDITE,-,-,[AGG] Preliminary headline total sales,
Italy,MASE,TOTALE IMMISSIONI AL CONSUMO,-,-,[AGG] Total deliveries to consumption,
Italy,MASE,TOTALE CONSUMI,-,-,[AGG] Preliminary grand total,
Italy,MASE,TOTALE | CONSUMI,-,-,[AGG] Definitive footer total,
Italy,MASE,BUNKERS | T O T A L E,-,-,[MIXED] Bunker total; excluded from domestic demand,
Italy,MASE,BUNKERS TOTALE,-,-,[MIXED] Preliminary bunker total,
Italy,MASE,BUNKERS | GASOLIO,-,-,[SUB] Bunker gasoil; add in JODI GASDIES composite only,GASOLIO | TOTALE GASOLI
Italy,MASE,BUNKERS | OLIO COMB.LE,Fuel Oil,Fuel Oil,[SUB] Bunker fuel oil,OLIO COMB.LE | TOTALE
Italy,MASE,BUNKERS | OLIO COMB.,Fuel Oil,Fuel Oil,[SUB] Abbreviated bunker fuel-oil label,OLIO COMB.LE | TOTALE
Italy,MASE,BUNKERS | LUBRIFICANTI,Heavy byproducts,Lubricants / Grease,[SUB] Bunker lubricants,LUBRIFICANTI TOTALE
Italy,MASE,CARICA PETROLCHIMICA NETTA,Naphtha,Naphtha,[AGG] Net petrochemical feedstock; not end-use demand,
Italy,MASE,CARICA PETROLCHIMICA LORDA,-,-,[AGG] Gross petrochemical feedstock,
Italy,MASE,CONSUMI E PERDITE DI RAFFINERIA,Others,Others,[SUB] Refinery losses; not domestic demand,ALTRI PRODOTTI
Italy,MASE,CONSUMI PROD.NE EN. EL.,Others,Others,[SUB] Refinery own-use for power gen,ALTRI PRODOTTI
Italy,MASE,PRODUZIONE ENERGIA ELETTRICA E TERMICA,-,-,[SUB] Preliminary refinery power-gen line,CONSUMI PROD.NE EN. EL.
Italy,MASE,CONSUMI OLIO COMB. TERMOELETTRICA,Fuel Oil,Fuel Oil,[SUB] Preliminary OC power-gen line,OLIO COMB.LE | TOTALE
Italy,MASE,DELTA SCORTE CONSUMATORI,-,-,[AGG] Consumer stock change; not consumption,
Italy,MASE,DELTA SCORTE CONSUMATORI | GASOLIO RISCALDAMENTO,-,-,[SUB] Definitive heating-oil stock delta; add in JODI GASDIES composite,DELTA SCORTE CONSUMATORI
Italy,MASE,DELTA SCORTE CONSUMATORI | OLIO COMBUSTIBILE,-,-,[SUB] Definitive fuel-oil stock delta; add in JODI RESFUEL composite,DELTA SCORTE CONSUMATORI
Korea,KNOC,gasoline,Gasoline,Gasoline,[PRIMARY] JODI GASOLINE compare,
Korea,KNOC,kerosene,Kerosene,Kerosene,[PRIMARY] JODI X_OTHKERO compare,
Korea,KNOC,diesel,Distillates,Diesel,[PRIMARY] JODI GASDIES compare,
Korea,KNOC,jet_fuel,Kerosene,Jet Fuel,[PRIMARY] JODI JETKERO + Kayrros compare,
Korea,KNOC,lpg,LPG,LPG,[PRIMARY] JODI LPG compare,
Korea,KNOC,naphtha,Naphtha,Naphtha,[PRIMARY] Petchem-heavy; exclude from end-use headline,
Korea,KNOC,light_heavy_oil,Fuel Oil,Fuel Oil,[SUB] Part of JODI RESFUEL composite,
Korea,KNOC,heavy_oil,Fuel Oil,Fuel Oil,[SUB] Part of JODI RESFUEL composite,
Korea,KNOC,bunker_c,Fuel Oil,Fuel Oil,[SUB] Part of JODI RESFUEL composite,
Korea,KNOC,byproduct_fuel_oil,Fuel Oil,Fuel Oil,[SUB] Part of JODI RESFUEL composite,
Korea,KNOC,asphalt,Heavy byproducts,Bitumen,[PRIMARY] Construction bitumen,
Korea,KNOC,lubricant,Heavy byproducts,Lubricants / Grease,[PRIMARY] Lubes,
Korea,KNOC,solvent,Others,Others,[PRIMARY] Solvents,
Korea,KNOC,other_products,Others,Others,[PRIMARY] Residual other products,
Korea,KNOC,biofuel,Others,Others,[PRIMARY] Biofuel line (sparse from ~2023),
Korea,KNOC,total,-,-,[AGG] Source-file total; excluded from canonical sums,
Japan,METI,gasoline,Gasoline,Gasoline,,
Japan,METI,naphtha,Naphtha,Naphtha,,
Japan,METI,jet_fuel,Kerosene,Jet Fuel,,
Japan,METI,kerosene,Kerosene,Kerosene,,
Japan,METI,gas_oil,Distillates,Diesel,[PRIMARY] 軽油; JODI GASDIES compare (road diesel),
Japan,METI,total_fuel_oil,-,-,[MIXED] METI 重油計 headline only; not a parsed monthly native row,
Japan,METI,fuel_oil_a,Distillates,Gasoil,[SUB] Ａ重油; JODI GASDIES compare with gas_oil,total_fuel_oil
Japan,METI,fuel_oil_bc,Fuel Oil,Fuel Oil,[SUB] Ｂ・Ｃ重油; JODI RESFUEL compare,total_fuel_oil
Japan,METI,lubricating_oil,Heavy byproducts,Lubricants,,
Japan,METI,asphalt,Heavy byproducts,Bitumen,,
Japan,METI,grease,Heavy byproducts,Grease,,
Japan,METI,paraffin_wax,Heavy byproducts,Wax,,
Japan,METI,lpg,LPG,LPG,,
Taiwan,MOEA,lpg,LPG,LPG,[PRIMARY] 液化石油氣,
Taiwan,MOEA,naphtha,Naphtha,Naphtha,[PRIMARY] 石油腦,
Taiwan,MOEA,gasoline,Gasoline,Gasoline,[PRIMARY] 車用汽油,
Taiwan,MOEA,jet_fuel,Kerosene,Jet Fuel,[PRIMARY] 航空燃油,
Taiwan,MOEA,diesel,Distillates,Diesel,[PRIMARY] 柴油,
Taiwan,MOEA,fuel_oil,Fuel Oil,Fuel Oil,[PRIMARY] 燃料油,
Taiwan,MOEA,others,Others,Others,[PRIMARY] 其他,
Taiwan,MOEA,total,-,-,[AGG] 合計; excluded from headline sums,
Spain,CORES,LPG | Bottled,LPG,LPG,[SUB] Bottled LPG,LPG | Total
Spain,CORES,LPG | Bulk,LPG,LPG,[SUB] Bulk LPG,LPG | Total
Spain,CORES,LPG | Road,LPG,LPG,[SUB] Road LPG,LPG | Total
Spain,CORES,LPG | Other LPG,LPG,LPG,[SUB] Other LPG,LPG | Total
Spain,CORES,LPG | Total,-,-,[AGG] Sheet total; not stored,
Spain,CORES,Gasoline | Gasoline 97 RON,Gasoline,Gasoline,[SUB] 97 RON,Gasoline | Subtotal road gasoline
Spain,CORES,Gasoline | Gasoline 95 RON,Gasoline,Gasoline,[SUB] 95 RON,Gasoline | Subtotal road gasoline
Spain,CORES,Gasoline | Gasoline 98 RON,Gasoline,Gasoline,[SUB] 98 RON,Gasoline | Subtotal road gasoline
Spain,CORES,Gasoline | Biogasoline,Gasoline,Gasoline,[SUB] Biogasoline,Gasoline | Subtotal road gasoline
Spain,CORES,Gasoline | Biogasoline Blend,Gasoline,Gasoline,[SUB] Biogasoline blend,Gasoline | Subtotal road gasoline
Spain,CORES,Gasoline | Aviation gasoline,Gasoline,Gasoline,[PRIMARY] Aviation gasoline,
Spain,CORES,Gasoline | Other gasoline,Gasoline,Gasoline,[PRIMARY] Other gasoline,
Spain,CORES,Gasoline | Subtotal road gasoline,-,-,[AGG] Road gasoline subtotal; not stored,
Spain,CORES,Gasoline | Total,-,-,[AGG] Sheet total; not stored,
Spain,CORES,Gasoil | Road diesel,Distillates,Diesel,[SUB] Road diesel,Gasoil | Subtotal road diesel
Spain,CORES,Gasoil | Biodiesel (B100),Distillates,Diesel,[SUB] Biodiesel B100,Gasoil | Subtotal road diesel
Spain,CORES,Gasoil | Biodiesel blend (1),Distillates,Diesel,[SUB] Biodiesel blend,Gasoil | Subtotal road diesel
Spain,CORES,Gasoil | Agricultural diesel,Distillates,Diesel,[SUB] Agricultural diesel,Gasoil | Total
Spain,CORES,Gasoil | Heating oil,Distillates,Gasoil,[SUB] Heating oil,Gasoil | Total
Spain,CORES,Gasoil | Other gasoil,Distillates,Gasoil,[SUB] Other gasoil,Gasoil | Total
Spain,CORES,Gasoil | Subtotal road diesel,-,-,[AGG] Road diesel subtotal; not stored,
Spain,CORES,Gasoil | Total,-,-,[AGG] Sheet total; not stored,
Spain,CORES,Kerosene | Jet,Kerosene,Jet Fuel,[PRIMARY] Jet kerosene,
Spain,CORES,Kerosene | Other kerosene,Kerosene,Kerosene,[PRIMARY] Non-jet kerosene,
Spain,CORES,Kerosene | Total,-,-,[AGG] Sheet total; not stored,
Spain,CORES,Fuel oil | Fuel oil No. 1,Fuel Oil,Fuel Oil,[SUB] Fuel oil No. 1,Fuel oil | Total
Spain,CORES,Fuel oil | Fuel oil No. 2,Fuel Oil,Fuel Oil,[SUB] Fuel oil No. 2,Fuel oil | Total
Spain,CORES,Fuel oil | Low-sulphur fuel oil,Fuel Oil,Fuel Oil,[SUB] Low-sulphur fuel oil,Fuel oil | Total
Spain,CORES,Fuel oil | Other fuel oil,Fuel Oil,Fuel Oil,[SUB] Other fuel oil,Fuel oil | Total
Spain,CORES,Fuel oil | Total,-,-,[AGG] Sheet total; not stored,
Spain,CORES,Other products | Lubricants,Heavy byproducts,Lubricants / Grease,[PRIMARY] Lubricants,
Spain,CORES,Other products | Asphalt products,Heavy byproducts,Bitumen,[PRIMARY] Asphalt,
Spain,CORES,Other products | Petroleum coke,Heavy byproducts,Petcoke,[PRIMARY] Petroleum coke,
Spain,CORES,Other products | Others,Others,Others,[PRIMARY] Residual other products,
